population,treatment,response,time_from_treatment_start,mean_percentage,sem,n,ci_low,ci_high
monocyte,miraclib,no,7,20.184520107692308,0.2212293770762714,325,19.750910528622814,20.6181296867618
monocyte,miraclib,no,14,19.845154147692305,0.23306384552444348,325,19.388349010464395,20.301959284920216
monocyte,miraclib,yes,0,19.900960996978853,0.26017256867818755,331,19.391022762369605,20.4108992315881
monocyte,miraclib,yes,7,20.05102394259819,0.24366529399218176,331,19.573439966373513,20.528607918822864
monocyte,miraclib,yes,14,19.87330459818731,0.26191284667363857,331,19.359955418706978,20.386653777667643
monocyte,phauximab,no,0,19.91789939208633,0.2572397669054967,278,19.413709448951558,20.422089335221102
monocyte,phauximab,no,7,20.178822615107915,0.24374137135433147,278,19.701089527253426,20.656555702962404
monocyte,phauximab,no,14,19.853530856115107,0.24575562875337606,278,19.371849823758488,20.335211888471726
monocyte,phauximab,yes,0,20.09863756549521,0.2504058067573647,313,19.607842184250774,20.589432946739645
monocyte,phauximab,yes,7,20.328495993610225,0.25800568469735674,313,19.822804851603408,20.834187135617043
monocyte,phauximab,yes,14,20.020226853035144,0.2101636153654997,313,19.608306166918766,20.432147539151522
nk_cell,miraclib,no,0,15.171309313846155,0.19494931433660787,325,14.789208657746403,15.553409969945907
nk_cell,miraclib,no,7,15.08775111076923,0.21303968555313055,325,14.670193327085093,15.505308894453366
nk_cell,miraclib,no,14,14.96043820923077,0.2186846111147103,325,14.531816371445938,15.389060047015601
nk_cell,miraclib,yes,0,15.219501299093654,0.236465131838293,331,14.756029640690599,15.682972957496709
nk_cell,miraclib,yes,7,14.657068199395772,0.22257443100777635,331,14.22082231462053,15.093314084171013
nk_cell,miraclib,yes,14,14.646263332326285,0.22125571912503633,331,14.212602122841213,15.079924541811357
nk_cell,phauximab,no,0,14.826459924460432,0.2006611715499576,278,14.433164028222516,15.219755820698348
nk_cell,phauximab,no,7,14.799020183453237,0.21816871742500493,278,14.371409497300228,15.226630869606247
nk_cell,phauximab,no,14,15.027982640287771,0.22624455596889972,278,14.584543310588728,15.471421969986814
nk_cell,phauximab,yes,0,14.94573224920128,0.22139518406075695,313,14.511797688442195,15.379666809960364
nk_cell,phauximab,yes,7,14.55932298402556,0.2256228640984921,313,14.117102170392515,15.001543797658604
nk_cell,phauximab,yes,14,14.567434814696487,0.21118183973503357,313,14.15351840881582,14.981351220577153
